1.2094,0.37199
1.124,0.26307
1.3142,0.59346
1.2176,0.33918
1.21,0.13459
1.3415,0.4284
1.3869,0.39935
1.2212,0.34023
1.4037,0.37082
1.226,0.36214
1.2063,0.48552
1.2485,0.42787
1.1006,0.022217
1.2683,0.5614
1.2656,0.35279
1.2826,0.66182
1.0732,0.059988
1.2463,0.52893
1.5146,0.81092
1.1992,0.29963
1.2878,0.48492
1.1404,0.43309
0.99547,0.19437
1.3721,0.68802
1.3466,0.60495
1.2852,0.15131
1.122,0.04448
1.1278,0.41017
1.1142,0.325
1.2426,0.52697
1.4504,0.59781
1.508,0.6053
1.2193,0.22493
1.4376,0.32558
1.2338,0.3332
1.3704,0.060606
1.3415,0.42424
1.2584,0.5285
1.2966,0.137
1.2167,0.57944
1.3371,0.044444
1.3978,0.52918
1.3,0.55364
1.3486,0.73582
1.2893,0.51421
1.343,0.54197
1.6199,0.50843
1.2872,0.2856
1.4265,0.30715
1.38,0.028525
1.1933,0.57157
1.3565,0.37824
1.1075,0.1488
1.2893,0.5514
1.1122,0.60606
1.1276,0.076898
1.3824,0.49981
1.3768,0.86667
1.1604,0.2325
1.2718,0.57157
1.3318,0.35233
1.1703,0.64841
1.0709,0.24942
1.5456,0.58132
1.2666,0.55244
1.051,0.34104
1.4348,0.49903
1.3814,0.75428
1.2759,0.81934
1.387,0.43575
1.4707,0.51521
1.0509,0.027778
1.2148,0.31535
1.176,0.72242
1.2629,0.41848
1.3181,0.64594
1.304,0.052559
1.1266,0.56081
1.2127,0.43665
1.3355,0.31557
1.3058,0.38874
1.4575,0.78644
1.2911,0.24245
